"unigram","bigram","freq"
"of","the",5425
"in","the",4955
"i","m",3411
"to","the",2781
"for","the",2734
"on","the",2685
"it","s",2595
"to","be",2433
"don","t",2123
"at","the",1782
"i","have",1660
"and","i",1636
"and","the",1539
"i","was",1535
"is","a",1526
"if","you",1454
"in","a",1444
"i","am",1404
"it","was",1398
"it","is",1328
"with","the",1301
"for","a",1287
"going","to",1232
"i","can",1174
"that","i",1141
"to","get",1140
"but","i",1132
"will","be",1123
"from","the",1118
"have","a",1115
"can","t",1114
"is","the",1114
"one","of",1057
"have","to",1034
"want","to",1026
"with","a",1017
"i","love",1012
"i","think",983
"that","s",967
"to","see",932
"of","a",931
"you","can",923
"you","re",916
"to","do",897
"i","ve",889
"all","the",880
"this","is",874
"thanks","for",873
"of","my",868
"as","a",822
"when","i",817
"in","my",814
"you","are",809
"out","of",807
"i","ll",782
"thank","you",779
"i","had",760
"was","a",749
"you","have",749
"i","don",745
"the","same",743
"need","to",741
"so","i",718
"i","know",714
"and","a",706
"on","a",703
"a","great",697
"be","a",691
"by","the",687
"that","the",684
"a","few",682
"a","lot",677
"i","just",671
"to","make",668
"a","little",666
"didn","t",662
"to","a",655
"the","first",654
"to","go",653
"we","are",646
"a","good",642
"the","best",634
"would","be",633
"had","a",625
"have","been",619
"s","a",619
"i","will",616
"do","you",607
"that","is",606
"they","are",591
"to","have",591
"if","i",579
"on","my",566
"the","world",566
"i","would",562
"are","you",561
"there","is",559
"so","much",555
"about","the",529
"is","not",524
"you","know",523
"all","of",491
"has","been",491
"as","the",484
"like","a",484
"and","it",483
"to","me",481
"what","i",480
"for","me",478
"when","you",475
"back","to",468
"time","to",468
"a","new",458
"into","the",458
"there","are",458
"and","then",456
"the","most",456
"i","could",455
"we","have",455
"we","re",455
"i","want",453
"he","was",452
"to","my",452
"the","way",450
"that","you",448
"as","i",444
"at","least",436
"but","it",435
"more","than",430
"me","to",429
"trying","to",427
"is","that",424
"as","well",421
"go","to",421
"was","the",415
"i","need",408
"the","other",408
"doesn","t",407
"with","my",407
"i","got",405
"over","the",404
"the","time",404
"right","now",403
"can","be",402
"lot","of",401
"able","to",398
"part","of",396
"some","of",386
"i","hope",383
"the","new",381
"the","last",377
"to","say",377
"how","to",375
"of","course",374
"i","do",373
"i","d",369
"had","to",368
"the","only",366
"in","this",365
"way","to",363
"what","s",363
"get","a",361
"should","be",359
"for","you",357
"love","you",352
"up","to",351
"we","can",350
"but","the",348
"the","day",346
"a","bit",342
"that","was",341
"like","to",340
"ll","be",340
"and","you",339
"for","my",338
"that","it",338
"there","s",338
"to","you",338
"he","is",336
"i","really",336
"he","s",335
"what","you",335
"you","want",334
"it","to",333
"you","to",330
"the","next",329
"i","thought",328
"in","your",325
"to","take",325
"because","i",320
"t","know",320
"that","we",318
"i","feel",316
"i","like",316
"let","s",316
"think","i",316
"kind","of",315
"are","the",314
"like","the",314
"they","were",313
"and","we",312
"be","the",311
"m","not",310
"my","life",309
"and","that",308
"the","end",308
"s","the",306
"see","you",303
"that","he",303
"of","our",301
"of","this",301
"me","and",296
"of","them",296
"forward","to",295
"isn","t",295
"know","what",295
"i","get",294
"has","a",293
"last","night",293
"of","your",293
"t","wait",292
"not","a",291
"through","the",291
"t","have",289
"this","week",288
"at","a",286
"out","the",286
"what","is",286
"of","it",284
"it","will",283
"do","not",281
"have","the",281
"won","t",278
"wanted","to",277
"you","for",276
"me","i",275
