"unigram","bigram","trigram","quadgram","freq"
"i","m","going","to",156
"can","t","wait","to",152
"i","don","t","know",152
"thanks","for","the","follow",108
"the","end","of","the",97
"for","the","first","time",87
"at","the","end","of",84
"i","don","t","think",84
"don","t","want","to",77
"i","can","t","wait",74
"is","going","to","be",74
"the","rest","of","the",74
"if","you","don","t",70
"is","one","of","the",70
"i","don","t","have",69
"at","the","same","time",68
"can","t","wait","for",62
"going","to","be","a",60
"one","of","the","most",59
"thank","you","for","the",59
"in","the","middle","of",58
"thanks","for","the","rt",58
"when","it","comes","to",56
"don","t","have","to",54
"i","don","t","want",54
"one","of","the","best",54
"thank","you","so","much",52
"if","you","want","to",50
"don","t","know","what",48
"t","wait","to","see",48
"to","be","able","to",48
"one","of","my","favorite",47
"what","do","you","think",45
"i","don","t","like",43
"i","m","not","sure",41
"i","was","going","to",40
"i","would","like","to",40
"i","d","like","to",39
"i","feel","like","i",39
"i","think","it","s",39
"a","bit","of","a",37
"it","s","going","to",37
"i","want","to","be",36
"i","think","i","m",35
"as","much","as","i",34
"happy","mother","s","day",34
"you","don","t","have",34
"don","t","forget","to",33
"don","t","think","i",33
"i","just","want","to",33
"s","going","to","be",33
"are","you","going","to",32
"don","t","know","how",32
"hope","to","see","you",32
"i","am","going","to",32
"that","s","what","i",32
"as","well","as","the",31
"the","middle","of","the",31
"a","lot","of","people",30
"i","have","no","idea",30
"on","the","other","hand",30
"thanks","so","much","for",30
"have","a","great","day",29
"i","can","t","believe",29
"i","don","t","even",29
"i","wish","i","could",29
"but","i","don","t",28
"for","the","rest","of",28
"i","would","love","to",28
"in","front","of","the",28
"thanks","for","the","mention",28
"was","one","of","the",28
"do","you","want","to",27
"on","my","way","to",27
"so","much","for","the",27
"what","are","you","doing",27
"and","i","can","t",26
"by","the","end","of",26
"i","thought","it","was",26
"the","fact","that","i",26
"you","don","t","know",26
"you","re","going","to",26
"do","you","have","a",25
"don","t","know","if",25
"i","d","love","to",25
"i","know","it","s",25
"it","s","been","a",25
"let","me","know","if",25
"thank","you","for","your",25
"the","name","of","the",25
"to","go","to","the",25
"but","i","can","t",24
"don","t","have","a",24
"don","t","know","why",24
"had","a","great","time",24
"i","didn","t","know",24
"i","m","not","a",24
"i","was","able","to",24
"is","one","of","my",24
"the","top","of","the",24
"a","little","bit","of",23
"i","have","to","say",23
"i","wish","i","had",23
"in","the","united","states",23
"it","s","time","to",23
"you","so","much","for",23
"bmw","service","center","california",22
"but","i","m","not",22
"didn","t","want","to",22
"hope","you","have","a",22
"i","can","t","even",22
"i","don","t","care",22
"i","don","t","get",22
"i","have","to","go",22
"i","wish","i","was",22
"it","s","a","great",22
"it","was","a","good",22
"looking","forward","to","the",22
"most","of","the","time",22
"thanks","for","the","#ff",22
"the","back","of","the",22
"the","bmw","service","center",22
"the","first","time","in",22
"there","are","so","many",22
"and","i","don","t",21
"as","soon","as","i",21
"hope","all","is","well",21
"i","am","not","a",21
"i","haven","t","been",21
"i","just","don","t",21
"i","ll","have","to",21
"i","want","to","see",21
"if","you","have","a",21
"if","you","have","any",21
"in","the","first","place",21
"in","the","u","s",21
"thanks","for","the","shout",21
"that","i","don","t",21
"you","don","t","want",21
"be","one","of","the",20
"figure","out","how","to",20
"hate","hate","hate","hate",20
"have","a","great","weekend",20
"i","look","forward","to",20
"i","m","about","to",20
"i","m","not","going",20
"i","m","pretty","sure",20
"i","m","so","glad",20
"i","need","to","get",20
"i","won","t","be",20
"if","you","haven","t",20
"in","the","form","of",20
"nothing","to","do","with",20
"the","bottom","of","the",20
"to","get","rid","of",20
"want","to","go","to",20
"was","going","to","be",20
"for","a","couple","of",19
"for","those","of","you",19
"from","time","to","time",19
"i","didn","t","get",19
"i","didn","t","have",19
"i","ll","be","there",19
"in","front","of","me",19
"it","s","hard","to",19
"on","the","other","side",19
"on","the","way","to",19
"the","first","time","i",19
"to","be","one","of",19
"to","go","back","to",19
"we","don","t","have",19
"a","lot","of","the",18
"a","part","of","the",18
"all","of","a","sudden",18
"are","going","to","be",18
"end","of","the","day",18
"feel","like","i","m",18
"great","to","see","you",18
"i","don","t","need",18
"i","know","i","m",18
"i","m","in","the",18
"i","m","so","excited",18
"i","want","to","do",18
"i","want","to","go",18
"if","you","can","t",18
"in","my","life","i",18
"know","what","to","do",18
"makes","me","want","to",18
"should","be","able","to",18
"to","get","out","of",18
"we","re","going","to",18
"what","s","your","favorite",18
"will","be","able","to",18
"a","few","weeks","ago",17
"as","one","of","the",17
"at","the","top","of",17
"can","i","get","a",17
"did","you","know","that",17
"for","the","shout","out",17
"going","to","have","to",17
"i","m","trying","to",17
"i","really","need","to",17
"if","i","don","t",17
"if","you","are","a",17
"in","the","midst","of",17
"not","be","able","to",17
"so","i","decided","to",17
"that","awkward","moment","when",17
"the","fact","that","the",17
"to","be","a","good",17
"to","be","in","the",17
