"unigram","bigram","trigram","freq"
"i","don","t",745
"thanks","for","the",468
"one","of","the",465
"i","can","t",402
"a","lot","of",383
"i","m","not",310
"it","s","a",293
"can","t","wait",280
"going","to","be",273
"i","want","to",262
"to","be","a",246
"don","t","know",242
"you","don","t",230
"i","have","to",224
"looking","forward","to",219
"i","have","a",212
"i","didn","t",210
"i","love","you",208
"out","of","the",207
"thank","you","for",207
"i","think","i",204
"be","able","to",198
"the","end","of",195
"it","was","a",193
"i","need","to",191
"one","of","my",190
"i","m","going",188
"some","of","the",188
"i","ve","been",180
"as","well","as",179
"i","ll","be",178
"it","s","not",174
"is","going","to",172
"a","couple","of",164
"part","of","the",163
"don","t","have",161
"you","want","to",159
"there","is","a",158
"the","fact","that",157
"m","going","to",156
"t","wait","to",156
"and","i","m",150
"in","the","world",148
"i","m","a",146
"you","have","to",145
"the","first","time",144
"for","the","follow",143
"the","rest","of",143
"i","m","so",142
"if","you","are",139
"i","had","a",135
"this","is","the",131
"to","go","to",130
"you","have","a",130
"this","is","a",129
"all","of","the",127
"i","had","to",127
"if","you","re",123
"but","i","m",122
"it","would","be",121
"if","you","have",120
"is","one","of",120
"it","is","a",120
"end","of","the",119
"don","t","think",118
"what","do","you",116
"in","front","of",115
"have","a","great",114
"t","want","to",114
"to","see","you",113
"i","have","been",112
"i","wanted","to",112
"to","see","the",112
"don","t","want",111
"i","feel","like",110
"i","am","not",108
"you","can","t",108
"if","you","want",107
"for","the","first",106
"i","think","it",106
"it","s","the",106
"i","will","be",105
"there","is","no",105
"i","haven","t",104
"in","order","to",104
"it","will","be",104
"to","get","a",103
"do","you","think",102
"a","bit","of",101
"there","s","a",101
"most","of","the",100
"want","to","be",100
"at","the","end",99
"of","the","day",99
"when","i","was",99
"i","wish","i",98
"back","to","the",97
"i","m","sure",96
"let","me","know",96
"to","have","a",95
"you","need","to",95
"i","know","i",94
"in","my","life",94
"to","be","the",94
"to","make","a",94
"as","much","as",92
"and","it","s",91
"i","m","just",90
"that","s","a",90
"was","going","to",90
"of","the","most",89
"so","i","can",89
"i","have","no",86
"i","hope","you",86
"all","the","time",85
"it","s","been",85
"but","it","s",84
"would","like","to",84
"at","the","same",83
"i","couldn","t",83
"one","of","those",82
"that","s","what",82
"will","be","a",82
"i","m","in",81
"to","make","it",81
"of","the","best",80
"that","i","have",80
"we","need","to",80
"and","i","was",79
"don","t","like",79
"i","decided","to",79
"rest","of","the",79
"go","to","the",78
"i","am","a",78
"in","the","middle",78
"we","don","t",78
"a","little","bit",77
"i","went","to",77
"to","get","the",77
"as","long","as",76
"for","me","to",76
"t","have","to",76
"thanks","for","following",76
"that","i","am",76
"the","same","time",76
"it","was","the",75
"not","going","to",75
"so","much","for",75
"i","m","gonna",74
"i","was","a",74
"that","would","be",74
"for","the","rt",73
"have","to","be",73
"they","don","t",73
"be","sure","to",72
"how","are","you",72
"i","won","t",72
"it","s","like",72
"mother","s","day",72
"need","to","be",72
"to","do","with",72
"you","for","the",72
"you","so","much",72
"a","great","day",71
"it","is","not",71
"of","the","year",71
"the","middle","of",71
"to","be","in",71
"we","have","a",71
"what","are","you",71
"would","love","to",71
"and","it","was",70
"had","a","great",70
"if","you","don",70
"it","doesn","t",70
"do","you","have",69
"don","t","get",69
"in","the","morning",69
"thanks","so","much",69
"the","u","s",69
"won","t","be",69
"and","i","am",68
"are","going","to",68
"back","in","the",68
"don","t","forget",68
"i","love","the",68
"i","m","still",68
"of","the","world",68
"there","was","a",68
"for","a","while",67
"that","it","is",67
"wait","to","see",67
"going","to","the",66
"if","you","can",66
"in","the","same",66
"is","not","a",66
"need","to","get",66
"that","i","was",66
"the","united","states",66
"and","i","have",65
"i","thought","i",65
"is","in","the",65
"is","the","best",65
"know","how","to",65
"there","will","be",65
"a","chance","to",64
"but","i","think",64
"i","am","so",64
"i","need","a",64
"i","used","to",64
"on","the","way",64
"s","going","to",64
"want","to","go",64
"when","it","comes",64
"but","it","was",63
"can","t","believe",63
"check","it","out",63
"in","the","first",63
"it","wasn","t",63
"look","forward","to",63
"of","my","favorite",63
"t","wait","for",63
"to","do","it",63
"to","say","that",63
"when","i","m",63
"i","love","it",62
"in","the","past",62
"no","matter","how",62
"that","i","m",62
"you","can","see",62
"you","re","a",62
"a","bunch","of",61
"i","know","that",61
"i","miss","you",61
"i","was","in",61
"i","wouldn","t",61
"it","is","the",61
"think","it","s",61
"to","get","to",61
"at","the","time",60
"i","can","get",60
"i","would","have",60
"it","in","the",60
"on","the","other",60
"that","it","was",60
"we","ll","be",60
"would","be","a",60
"a","good","day",59
"because","of","the",59
"but","i","have",59
"but","it","is",59
"i","know","it",59
"it","s","all",59
"look","at","the",59
"t","know","what",59
"thank","you","so",59
"we","will","be",59
"you","know","what",59
